ListingKey,ListingID,HostID,Capacity,MinNights,MaxNights,Price,EstRevenue,EstOccupancy,Avail30Days,Avail60Days,Avail90Days,Avail365Days,TotalReviews,ReviewsLast12Months,ReviewsLast30Days,ReviewsLastYear,ReviewsPerMonth,Rating,AccuracyRating,CleanlinessRating,CheckInRating,CommunicationRating,LocationRating,ValueRating
1,2539,2787,2,30,730,113.97,6838,60,4,34,64,339,10,1,1,0,0.08,4.8,4.7,4.9,4.9,5,4.8,4.8
2,6848,15991,3,30,240,117.27,21109,180,1,1,15,191,198,3,0,4,0.95,4.6,4.6,4.9,4.9,4.8,4.7,4.6
3,6872,16104,1,30,180,80.06,4804,60,0,0,11,286,2,1,0,1,0.04,5,5,5,5,5,5,5
4,6990,16800,1,30,120,77.17,9260,120,0,28,28,218,251,2,0,3,1.24,4.9,4.8,5,5,4.9,4.9,4.8
5,7097,17571,2,30,1125,202.47,51630,255,0,0,0,106,423,10,0,28,2.12,4.9,4.9,4.9,5,4.9,5,4.8
6,7801,21207,2,30,120,365.97,21958,60,0,0,11,68,13,1,0,0,0.06,4.9,4.8,4.7,4.9,4.8,5,4.9
7,8490,25183,5,30,1125,193.03,0,0,5,17,26,255,189,0,0,0,0.92,4.8,4.8,4.7,4.9,4.9,4.7,4.8
8,9357,30193,2,30,120,148.04,0,0,0,12,42,61,58,0,0,0,0.29,4.5,4.7,4.2,5,5,5,4.6
9,10452,35935,2,30,730,79.91,0,0,1,14,44,319,82,0,0,1,0.42,4.7,4.5,4.6,4.7,4.9,4.4,4.7
10,12192,46978,1,30,1125,,,120,0,0,0,0,316,2,0,2,1.56,4.4,4.6,4.1,4.8,4.9,4.7,4.5
11,12937,50124,2,1,1125,359.67,91716,255,9,24,40,172,483,38,4,36,2.48,4.9,4.9,4.9,4.9,4.9,4.9,4.9
12,12940,50148,2,30,365,153.6,9216,60,4,10,40,292,81,1,0,3,0.4,4.6,4.7,4.5,4.7,4.6,4.1,4.4
13,14314,56246,2,30,365,138.2,8292,60,14,32,32,289,177,1,0,1,0.88,4.8,4.9,4.9,4.9,4.9,4.8,4.8
14,15341,60049,2,30,1125,274.73,32968,120,21,51,62,139,43,2,0,3,0.28,4.6,4.7,4.4,4.9,4.8,4.7,4.4
15,15385,60252,1,31,60,,,62,26,26,26,31,63,1,0,4,0.32,4.9,4.8,4.8,4.9,4.9,4.9,4.7
16,15396,60278,4,180,730,,,0,29,59,89,179,5,0,0,0,0.04,5,4.8,4.8,5,5,4.8,4.8
17,16338,63613,1,30,200,57.01,10262,180,4,4,4,168,35,3,1,1,0.17,4.7,4.7,4.3,4.9,4.8,4.8,4.6
18,16580,64442,1,2,1125,194,49470,255,8,31,59,222,696,52,3,61,4.46,4.8,4.9,4.8,4.8,4.8,4.8,4.7
19,16821,4396,1,1,31,214.54,54708,255,19,42,61,61,322,58,2,56,1.91,4.8,4.8,4.5,4.8,4.9,4.9,4.6
20,16974,65837,8,30,365,211.57,12694,60,0,0,28,208,292,1,0,0,1.46,4.8,4.9,4.8,5,4.9,4.4,4.8
21,17037,66035,1,30,90,239.7,0,0,27,57,87,177,53,0,0,0,0.27,4.8,4.8,4.9,5,5,4.6,4.6
22,18152,69942,2,30,30,554.2,0,0,30,60,90,365,146,0,0,0,0.81,4.4,4.4,4.3,4.8,4.8,4.7,4.5
23,18728,71876,3,30,1125,207.23,12434,60,8,8,25,300,251,1,0,1,1.35,5,4.9,5,5,5,5,4.9
24,19174,73164,3,90,3000,94.94,0,0,0,0,0,113,68,0,0,0,0.35,4.6,4.5,4.3,4.9,4.8,4.8,4.6
25,19812,74857,2,30,90,100.57,0,0,0,0,2,228,58,0,0,0,0.29,4.5,4.7,3.5,4.7,4.7,5,4.4
26,21456,42032,2,30,365,85.64,0,0,0,27,57,332,79,0,0,0,0.4,4.7,4.8,4.6,4.9,4.9,4.8,4.8
27,21794,83257,2,30,1125,95.9,0,0,0,0,7,282,36,0,0,0,0.18,5,5,4.8,5,5,5,4.9
28,23135,11481,2,30,60,171.65,0,0,30,60,90,365,317,0,0,0,1.62,4.7,4.8,4.9,4.8,4.7,4.7,4.7
29,23545,92411,2,30,1125,210.6,0,0,23,53,83,358,214,0,0,0,1.09,4.8,4.9,4.9,4.8,4.6,4.4,4.7
30,24285,97797,5,30,180,230.7,0,0,0,0,0,164,93,0,0,0,0.48,4.8,4.8,4.9,5,4.8,4.8,4.8
31,25406,105538,4,30,90,,,60,3,4,4,8,30,1,0,0,0.19,4.6,4.8,4.5,5,5,4.8,4.7
32,25696,107628,2,1,21,256.76,65474,255,25,48,60,209,210,24,6,7,1.1,4.8,4.9,4.7,4.9,4.9,4.7,4.7
33,26785,42273,2,30,365,,,120,1,1,1,1,479,2,1,1,2.45,4.9,5,5,5,5,4.9,4.9
34,27883,120223,3,30,365,,,0,0,20,27,35,25,0,0,0,0.13,4.8,4.6,4.8,5,4.9,4.8,4.7
35,28907,124352,4,30,30,,,0,0,0,0,0,19,0,0,0,0.1,5,4.9,5,4.9,4.9,4.9,4.9
36,29013,35935,2,30,730,78.98,18955,240,0,0,11,286,80,4,1,4,0.41,4.7,4.4,4.6,4.8,4.7,4.4,4.6
37,29628,127608,2,2,1125,272.5,69488,255,1,8,20,231,521,52,4,54,2.67,5,5,4.9,5,5,4.9,4.9
38,31130,117287,1,30,360,194.03,0,0,23,33,53,328,75,0,0,0,0.39,4.9,4.9,4.9,5,5,5,4.8
39,31555,135619,2,30,59,,,0,0,0,0,0,30,0,0,0,0.16,4.7,4.8,4.4,4.9,5,4.9,4.7
40,31994,137814,2,2,1125,165.47,42195,255,12,17,33,249,643,37,2,40,3.31,4.6,4.7,4.5,4.8,4.8,4.8,4.6
41,33009,143027,2,30,90,179.27,21512,120,21,38,54,155,301,2,0,3,1.55,5,5,5,5,5,5,4.9
